"run_name";"station_code";"year";"ISOcode";"cao2_scenario";"lon";"lat";"NO2_sherpa";"f_calib2cams_no2";"NO2_LR";"NOx_A_PublicPower";"NOx_B_Industry";"NOx_C_OtherStationaryComb";"NOx_F_RoadTransport";"NOx_G_Shipping";"NOx_H_Aviation";"NOx_I_Offroad";"NOx_J_Waste";"NOx_K_AgriLivestock";"NOx_L_AgriOther";"NOx_NONEURO7_2cc";"NOx_PCAR7_2cc";"NOx_DCAR7_2cc";"NOx_PLDV7_2cc";"NOx_DLDV7_2cc";"NOx_DHDVVII_2cc";"NOx_2030_kton";"NOx_CAO2_kton";"fNOx_2030_NotEuro7";"fNOx_2030_PCAR7";"fNOx_2030_DCAR7";"fNOx_2030_PLDV7";"fNOx_2030_DLDV7";"fNOx_2030_DHDVVII";"fNOx_NotEuro7";"fNOx_PCAR7";"fNOx_DCAR7";"fNOx_PLDV7";"fNOx_DLDV7";"fNOx_DHDVVII";"Longitude";"Latitude";"station_type";"station_area";"NO2_obs_ugm3";"data_coverage";"NOx_base";"NO2_base";"abs_bias_2018";"rel_bias_2018";"NO2_base_corrabs";"NO2_base_corrrel";"NOx_CAO2_kton_2018";"sum_euro7_fractions";"NOx_NonTraffic";"NOx_Traffic";"NOx_run";"NO2_wo_corr";"NO2_corr_rel"
"Baseline_2035";"CZ0TKAR";2035;"CZ";"Baseline";18.5515;49.8638;4.20989187479499;1.7351026905336;7.30459471881233;2.77079496256886;3.30638368372216;0.703359492638083;1.01664211190349;0.0750070674576606;0.0149440401532739;0.180871618410647;0.0128270514136805;0;0.14621029673264;-0.0258964067761553;-0.000969606451690197;-0.000130385160446167;-1.71511383086909e-05;0.000519923865795135;-0.00408045761287212;32.900611890629;17.9637293449231;0.938843877428361;0.00709999380413877;0.0224854626133999;4.93803296334706e-05;0.00509020121148599;0.0264310846129807;0.765067490380897;0.0309110448768591;0.0906441485848182;0.00051655785095079;0.0315609727498888;0.0812997855565864;18.5515;49.8638;"Background";"Urban";NA;NA;8.20773546441425;7.28991459261113;-6.662302740643;0.672114634546828;13.9522173332541;10.8462369630239;60.4752064764408;1;7.21039821309701;0.997337251317245;8.20773546441425;7.28991459261113;10.8462369630239
"Baseline_2035";"CZ0TOCB";2035;"CZ";"Baseline";18.29;49.8398;7.37179691946814;1.39036884408323;10.2495167617372;4.73540079305225;6.03191041526913;0.457664119239657;0.820794010208495;0.050338123600476;0.00873360687244383;0.127364777973739;0.0105562799774506;0;0.115721308592066;0.243505164845374;0.00156655535101891;0.00713401846587658;4.23717938247137e-06;0.00105936732143164;0.00730781443417072;32.900611890629;17.9637293449231;0.938843877428361;0.00709999380413877;0.0224854626133999;4.93803296334706e-05;0.00509020121148599;0.0264310846129807;0.765067490380897;0.0309110448768591;0.0906441485848182;0.00051655785095079;0.0315609727498888;0.0812997855565864;18.29;49.8398;"Traffic";"Urban";NA;NA;12.5021378748342;10.345504570494;-19.7227798090645;0.464346012790208;30.0682843795585;22.2797316775241;60.4752064764408;1;11.5376894245772;0.964448450256965;12.5021378748342;10.345504570494;22.2797316775241
"Baseline_2035";"CZ0TOFF";2035;"CZ";"Baseline";18.2637;49.8392;7.37179691946814;1.39036884408323;10.2495167617372;4.73540079305225;6.03191041526913;0.457664119239657;0.820794010208495;0.050338123600476;0.00873360687244383;0.127364777973739;0.0105562799774506;0;0.115721308592066;-0.538472480500786;-0.00258374260738492;-0.0138846766203642;-1.53476103150751e-05;-0.00418921653181314;-0.00983383506536484;32.900611890629;17.9637293449231;0.938843877428361;0.00709999380413877;0.0224854626133999;4.93803296334706e-05;0.00509020121148599;0.0264310846129807;0.765067490380897;0.0309110448768591;0.0906441485848182;0.00051655785095079;0.0315609727498888;0.0812997855565864;18.2637;49.8392;"Background";"Urban";NA;NA;12.0514089687531;10.0430068510809;-6.37545299384965;0.718957328902374;16.4184598449305;13.9688496762575;60.4752064764408;1;11.5376894245772;0.513719544175937;12.0514089687531;10.0430068510809;13.9688496762575
"Baseline_2035";"CZ0TOPO";2035;"CZ";"Baseline";18.1593;49.8253;4.06371769401924;2.23938980711144;9.1002479829651;3.1014683735732;4.79286280284625;0.735644041049236;1.38456990291755;0.104054661618242;0.0175796548018331;0.258768367201061;0.0133215113104332;0;0.275253399273778;0.415586959717075;0.00267586624249816;0.0114359501749277;1.07628311525332e-05;0.00201967498287559;0.0107943117618561;32.900611890629;17.9637293449231;0.938843877428361;0.00709999380413877;0.0224854626133999;4.93803296334706e-05;0.00509020121148599;0.0264310846129807;0.765067490380897;0.0309110448768591;0.0906441485848182;0.00051655785095079;0.0315609727498888;0.0812997855565864;18.1593;49.8253;"Background";"Suburban";NA;NA;10.9249921835975;9.26946750085074;-0.412952483775499;0.976000901739089;9.68241998462624;9.49739645151344;60.4752064764408;1;9.29895281167403;1.62603937192344;10.9249921835975;9.26946750085074;9.49739645151344
"Baseline_2035";"CZ0TOPR";2035;"CZ";"Baseline";18.2697;49.8563;7.37179691946814;1.39036884408323;10.2495167617372;4.73540079305225;6.03191041526913;0.457664119239657;0.820794010208495;0.050338123600476;0.00873360687244383;0.127364777973739;0.0105562799774506;0;0.115721308592066;-0.558226680895132;-0.00229946477338672;-0.014393512159586;-1.38594805321191e-05;-0.00437230011448264;-0.00926553085446358;32.900611890629;17.9637293449231;0.938843877428361;0.00709999380413877;0.0224854626133999;4.93803296334706e-05;0.00509020121148599;0.0264310846129807;0.765067490380897;0.0309110448768591;0.0906441485848182;0.00051655785095079;0.0315609727498888;0.0812997855565864;18.2697;49.8563;"Industrial";"Urban";NA;NA;12.042518500186;10.037000743465;-9.35166454221969;0.63528471813815;19.3886652856847;15.7992164094248;60.4752064764408;1;11.5376894245772;0.504829075608771;12.042518500186;10.037000743465;15.7992164094248
"Baseline_2035";"CZ0TOVK";2035;"CZ";"Baseline";17.9095;49.945;2.53086722016441;2.01255304713014;5.09350453582366;1.24859460208005;2.13436587127133;0.545032665955522;0.915699248333742;0.0997077123602759;0.0148244357953502;0.225518849211017;0.00991547126359583;0;0.26059492816742;-0.219895805144915;-0.00207141973078251;-0.00457910820841789;-3.09593160636723e-05;-0.0012463079765439;-0.00538207218050957;32.900611890629;17.9637293449231;0.938843877428361;0.00709999380413877;0.0224854626133999;4.93803296334706e-05;0.00509020121148599;0.0264310846129807;0.765067490380897;0.0309110448768591;0.0906441485848182;0.00051655785095079;0.0315609727498888;0.0812997855565864;17.9095;49.945;"Background";"Urban";NA;NA;5.32797610322446;4.98753856263528;-5.37041107185243;0.640077000747106;10.3579496344877;7.79209150901183;60.4752064764408;1;4.53855453610456;0.789421567119896;5.32797610322446;4.98753856263528;7.79209150901183
"Baseline_2035";"CZ0TRYC";2035;"CZ";"Baseline";18.3773;49.8717;5.68127136430557;1.61126343415694;9.15402480882847;3.29338953155839;5.41909299843952;0.608809236916008;1.01403527986366;0.0702502144952101;0.012535139092885;0.174410349561071;0.0125969875660787;0;0.154949897953207;0.578175251064749;0.00320189958438277;0.0158431380987167;1.23429535960895e-05;0.00340175163000822;0.013083222322166;32.900611890629;17.9637293449231;0.938843877428361;0.00709999380413877;0.0224854626133999;4.93803296334706e-05;0.00509020121148599;0.0264310846129807;0.765067490380897;0.0309110448768591;0.0906441485848182;0.00051655785095079;0.0315609727498888;0.0812997855565864;18.3773;49.8717;"Background";"Urban";NA;NA;11.0933635983927;9.38673632084945;-3.29885042582405;0.830148778404693;12.6855867466735;11.3072940237147;60.4752064764408;1;9.74603435558237;1.34732924281028;11.0933635983927;9.38673632084945;11.3072940237147
